53.5867612,9.9842038,Eppendorfer Landstraße 28,'Eddy' Marie 'Beuth' Aronheim   geb. Cohn [1],""
53.5500243,10.0474980,Luisenweg 103,Abraham Borenstejn,""
53.5701544,9.9826325,Dillstraße 21,Abraham Freimann,""
53.560110,9.956541,Paulsenplatz 9,Abraham Gutfreund,""
53.5684570,9.9813335,Bornstraße 22,Abraham Schwarzschild,""
53.5573667,10.0342976,Malzweg 3,Abram Widawski,""
53.5920567,9.9877389,Eppendorfer Landstraße 93,Ada Seligmann   geb. Löwenstein,""
53.5557051,10.0409189,Hammer Landstraße 0,Adam Molinnus,""
53.5718909,9.9812636,Heinrich-Barth-Straße 25,Adele Cohn geb. Isaak,""
53.5469898,10.0429560,Hammer Deich,Adele Elias,""
53.5697800,9.9829959,Rappstraße 15,Adele Friedberg geb. Goldschmidt,""
53.570996,9.975482,Kielortallee 16,Adele Hirsch   geb. Nussbaum,""
53.5697135,9.9827225,Rappstraße 18,Adele Katz geb. Löwenstein,""
53.5587808,10.0531313,Lohhof 15,Adele Klein geb. Simon,""
53.550615,9.975597,Hütten 86,Adele Lambertz   geb. Bettelheimer,""
53.6061484,10.1507774,Grubesallee 21,Adele Leidersdorf   geb. Heymann,""
53.5608071,9.9628773,Schulterblatt 39,Adele Löw,""
53.5869232,10.0301143,Hauersweg 7,Adele Massé,""
,,Wandsbeker Stieg 41,Adele Mayer,""
,,Wattkorn 15,Adele Rühl,""
,,Grindelberg ggü. Nr. 7,Adelheide Singer   geb. Gradenwitz,""
53.5866171,9.9831300,Haynstraße 21,Adolf 'Adi' Ambor,""
53.5506136,9.9926625,Rathausmarkt 1,Adolf Biedermann,""
53.5846806,10.0235963,Jarrestraße 27,Adolf Biedermann,""
53.5878696,10.0023269,Sierichstraße 98,Adolf Blankenstein,""
53.5661646,9.9822601,Grindelallee 46,Adolf Cohen,""
53.5741722,9.9875688,Hansastraße 21,Adolf Coutinho,""
53.5532537,9.9631246,Hein-Hoyer-Straße 66,Adolf Fünfstück,""
53.4580353,9.9859186,Rieckhoffstraße 5,Adolf Greif,""
53.5499168,9.9797078,Großneumarkt 38,Adolf Kahn,""
53.5697188,9.9826970,Rappstraße 18,Adolf Katz,""
53.6021124,10.0485890,Elligersweg 46,Adolf Krampe,""
53.5180168,9.9851882,Vogelhüttendeich 40,Adolf Laser,""
53.5633913,10.0541413,Marienthaler Straße 126,Adolf Lorenz,""
53.6427751,10.0848755,Rehmkoppel 19,Adolf Ludwig Schrage,""
53.5822786,10.0011167,Blumenstraße 37,Adolf Maass,""
53.5701441,9.9812046,Rappstraße 6,Adolf Mandelik,""
53.547401,9.980473,Martin-Luther-Straße 21,Adolf Maurice Ruben,""
53.5672344,9.9806809,Grindelallee 79,Adolf Max Ahronheim,""
53.5862633,10.0617219,Tondernstieg 7,Adolf Panzer,""
53.5784481,10.0039169,Bellevue 34,Adolf Peine,""
53.5352419,10.1173865,Oberschleems 29,Adolf Rembte,""
53.5503456,9.9817069,Alter Steinweg 13,Adolf Richard Neumann,""
53.559307,10.026566,Lübecker Straße 13-15,Adolf Robertson,""
53.5727857,9.9754236,Bogenstraße 23,Adolf Schröder,""
53.5673898,10.0462738,Wandsbeker Chaussee 118,Adolf Schütz,""
53.583549,9.967323,Gärtnerstraße 28a,Adolf Sonn,""
53.5525261,9.9616929,Clemens-Schultz-Straße 43-45,Adolf Theodor Meyer,""
53.5817230,9.9681247,Wrangelstraße 80,Adolf Wagener,""
53.5701702,9.9814766,Rappstraße 7,Adolf Wolff,""
53.5861484,9.9833896,Eppendorfer Landstraße 18,Adolph Hammerschlag,""
53.5641494,9.9910826,Feldbrunnenstraße 3,Adolph Heidemann,""
53.5655932,9.9952600,Mittelweg 169,Adolph Jacobson,""
53.5586970,10.0128167,Lange Reihe 93,Adolph Mannheimer,""
53.5665751,9.9653302,Weidenallee 12,Adolphe de Haas,""
53.5805562,9.9812050,Isestraße 36,Agathe Blanck   geb. Coutinho,""
53.587013,9.976111,Breitenfelder Straße 60,Agathe Cohn   geb. Frank,""
53.5626625,9.9877880,Edmund-Siemers-Allee 1,Agathe Lasch,""
53.5794983,10.0087089,Sierichstraße 20,Agnes Freundlich   geb. Elias,""
53.5638516,10.0318775,Güntherstraße 90,Agnes Joel,""
53.5690953,9.9883812,Rothenbaumchaussee 73,Agnes Offenstadt geb. Dreyer,""
53.5347010,10.0457156,Marckmannstraße 135,Agnes Petersen,""
53.5620617,10.0455824,Ritterstraße 74,Albert Bannau,""
53.5537394,9.9799555,Poolstraße 7,Albert Behrend,""
53.549544,9.994835,Pelzerstraße/Schauenburgerstraße,Albert Blank,""
53.5543241,9.9847703,Caffamacherreihe 4,Albert Bloch,""
53.5451185,10.0379820,Bullerdeich 51,Albert Euen,""
